No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
210,ERTX,Eratex Djaja Tbk PT,21 Ags 1990,1286539792,PENGEMBANGAN
211,ESSA,ESSA Bancorp  Inc,01 Feb 2012,14300000000,UTAMA
212,ESTI,Ever Shine Tex Tbk PT,13 Okt 1992,2015208720,UTAMA
213,ETWA,Eterindo Wahanatama Tbk PT,16 Mei 1997,968297000,UTAMA
214,EXCL,XL Axiata Tbk PT,29 Sep 2005,10687960423,UTAMA
215,FAST,Fastenal Company,11 Mei 1993,1995138579,PENGEMBANGAN
216,FASW,Fajar Surya Wisesa Tbk PT,19 Des 1994,2477888787,UTAMA
217,FILM,MD Pictures Tbk PT,07 Ags 2018,9511217000,UTAMA
218,FINN,First National Of Nebraska,08 Jun 2017,1860225000,PENGEMBANGAN
219,FIRE,Supreme Cannabis Company Inc,09 Jun 2017,1475362946,PENGEMBANGAN
220,FISH,Sailfish Royalty Corp,18 Jan 2002,480000000,PENGEMBANGAN
221,FITT,Hotel Fitra International Tbk PT,11 Jun 2019,600000000,PENGEMBANGAN
222,FMII,Fortune Mate Indonesia Tbk PT,30 Jun 2000,2721000000,PENGEMBANGAN
223,FOOD,Goodfood Market Corp,08 Jan 2019,650000000,PENGEMBANGAN
224,FORU,Foru Holdings Inc,17 Jan 2004,465224000,PENGEMBANGAN
225,FORZ,Forza Land Indonesia Tbk PT,28 Apr 2017,1984009887,UTAMA
226,FPNI,Lotte Chemical Titan Tbk PT,21 Mar 2002,5566414000,PENGEMBANGAN
227,FREN,Fresenius SE & Co KGaA,29 Nov 2006,215345527937,UTAMA
228,FUJI,Fuji Finance Indonesia Tbk PT,09 Jul 2019,1105000000,PENGEMBANGAN
229,GAMA,Gamma Communications PLC,11 Jul 2012,10011027656,UTAMA
230,GDST,Gunawan Dianjaya Steel Tbk PT,23 Des 2009,9242500000,PENGEMBANGAN
231,GDYR,PT Goodyear Indonesia Tbk,01 Des 1980,410000000,UTAMA
232,GEMA,Gema Grahasarana Tbk PT,12 Ags 2002,1600000000,PENGEMBANGAN
233,GEMS,Golden Energy Mines Tbk PT,17 Nov 2011,5882353000,UTAMA
234,GGRM,Gudang Garam Tbk PT,27 Ags 1990,1924088000,UTAMA
235,GGRP,WISDOMTREE ISSU/SHS USD,19 Sep 2019,12111376157,Pengembangan
236,GHON,Gihon Telekomunikasi Indonesia Tbk PT,09 Apr 2018,550000000,UTAMA
237,GIAA,Garuda Indonesia (Persero) Tbk PT,11 Feb 2011,25886576254,Utama
238,GJTL,Gajah Tunggal Tbk PT,08 Mei 1990,3484800000,UTAMA
239,GLOB,Globant SA,10 Jul 2012,1111112000,PENGEMBANGAN
240,GMFI,Garuda Maintenance Facility ArAsa Tbk PT,10 Okt 2017,28233511500,UTAMA
241,GMTD,Gowa Makassar Tourism Development Tbk PT,11 Des 2000,101538000,PENGEMBANGAN
242,GOLD,Barrick Gold Corp,07 Jul 2010,1277276000,PENGEMBANGAN
243,GOLL,PT Golden Plantation Tbk,23 Des 2014,3665000759,PENGEMBANGAN
244,GOOD,Gladstone Commercial Corporation,10 Okt 2018,7379580291,UTAMA
245,GPRA,Perdana Gapura Prima Tbk PT,10 Okt 2007,4276655336,UTAMA
246,GREN,GreenSmart Corporation,09 Jul 2010,4694111791,UTAMA
247,GSMF,Equity Development Investment Tbk PT,13 Okt 1989,7454723337,PENGEMBANGAN
248,GTBO,Garda Tujuh Buana Tbk PT,09 Jul 2009,2500000000,PENGEMBANGAN
249,GWSA,Greenwood Sejahtera Tbk PT,23 Des 2011,7800760000,UTAMA
250,GZCO,Gozco Plantations Tbk PT,15 Mei 2008,6000000000,UTAMA
251,HADE,Himalaya Energi Perkasa Tbk PT,12 Apr 2004,2120000000,PENGEMBANGAN
252,HDFA,HDFC Bank Limited,10 Mei 2011,2329668917,UTAMA
253,HDIT,Pt Hensel Davest Indonesia Tbk,12 Jul 2019,1524680000,Utama
254,HDTX,Panasia Indo Resources Tbk PT,06 Jun 1990,3601462800,UTAMA
255,HEAL,ISHS IV/SHS USD,16 Mei 2018,2973000000,UTAMA
256,HELI,Jaya Trishindo Tbk PT,27 Mar 2018,819000000,PENGEMBANGAN
257,HERO,GLB X FUNDS/VIDEO GAMES & ESPORTS E,02 Des 1989,4183634000,UTAMA
258,HEXA,Hexaom SA,13 Feb 1995,840000000,UTAMA
259,HITS,Humpuss Intermoda Transportasi Tbk PT,15 Des 1997,7101084801,UTAMA
260,HKMU,HK Metals Utama Tbk PT,09 Okt 2018,3221750000,UTAMA
261,HMSP,HSBC ETFS/SHS CL-USD,15 Ags 1990,116318076900,UTAMA
262,HOKI,Buyung Poetra Sembada Tbk PT,22 Jun 2017,2376448100,UTAMA
263,HOME,At Home Group Inc,17 Jul 2008,22212194782,PENGEMBANGAN
264,HOTL,PT Saraswati Griya Lestari Tbk,10 Jan 2013,3550001452,UTAMA
265,HRME,Menteng Heritage Realty Tbk PT,12 Apr 2019,5958750000,PENGEMBANGAN
266,HRTA,PT Hartadinata Abadi Tbk,21 Jun 2017,4605262400,PENGEMBANGAN
267,HRUM,Harum Energy Tbk PT,06 Okt 2010,2703620000,UTAMA
268,IATA,Indonesia Transport & Infrastrctr Tbk PT,13 Sep 2006,9979518088,PENGEMBANGAN
269,IBFN,PT Intan Baruprana Finance Tbk,22 Des 2014,1517321249,PENGEMBANGAN
270,IBST,Ibstock plc,31 Ags 2012,1350904927,UTAMA
271,ICBP,PT Indofood CBP Sukses Makmur Tbk,07 Okt 2010,11661908000,UTAMA
272,ICON,Iconix Brand Group Inc,08 Jul 2005,1089750000,Pengembangan
